keyword,job_title,company,location,work_type,salary,skills,job_url,description,n_skills_raw,skills_list,n_skills
Java Developer,Java Developer - Remote,YO IT Consulting,"California, Amerika Serikat (Jarak Jauh)",Remote,,"Computer Vision, GitHub, GraphQL, Java, Machine Learning, Natural Language Processing (NLP)",https://www.linkedin.com/jobs/view/4417430978/,"YO IT Consulting Java Developer - Remote California, Amerika Serikat · 6 hari yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn Jarak Jauh Paruh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Job Title: Java Developer - AI Expert Job Type: Contract (Part-time) Location: Remote Job Summary Join our customer's team as an experienced Backend Developer. In this high-impact, remote role, you'll design, implement, and continually improve robust backend APIs while collaborating with cutting-edge AI research. You'll help test and shape the next gene",6,"['computer vision', 'github', 'graphql', 'java', 'machine learning', 'natural language processing (nlp)']",6
PHP Developer,PHP Developer - Remote,YO IT Consulting,Amerika Serikat (Jarak Jauh),Remote,,"Computer Vision, Laravel, Machine Learning, Natural Language Processing (NLP), Node.js, PHP",https://www.linkedin.com/jobs/view/4413187755/,"YO IT Consulting PHP Developer - Remote Amerika Serikat · 2 minggu yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn Jarak Jauh Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Job Title: PHP Developer Job Type: Contractor Location: Remote (US and Canada) Job Summary Join our customer's team as a skilled PHP Developer, contributing your back-end expertise to an innovative AI agent project. You’ll play a pivotal role training AI models by leveraging your deep understanding of PHP and Laravel in a distributed, cutting-edge environment. Key",6,"['computer vision', 'laravel', 'machine learning', 'natural language processing (nlp)', 'node.js', 'php']",6
PHP Developer,PHP Developer,FORT,"Warrington, Inggris, Britania Raya (Gabungan)",Hybrid,,"Laravel, MySQL, PHP",https://www.linkedin.com/jobs/view/4419866091/,"FORT PHP Developer Warrington, Inggris, Britania Raya · 6 jam yang lalu · 26 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu 40K GBP/yr - 50K GBP/yr Gabungan Penuh waktu 0 dari 9 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 26 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini PHP Developer (Laravel / PHP) Hybrid – Warrington (1/2 days per week) Up to £50,000 We’re working with a growing, technology-led business that operates a high-traffic, customer-facing digital platform at the core of its operations. Following the recent hire of a Lead Developer, they’re continuing to build out their in-house engineerin",3,"['laravel', 'mysql', 'php']",3
PHP Developer,Junior PHP Developer (Laravel),IT Recruitment Solutions,Britania Raya (Jarak Jauh),Remote,,"Laravel, PHP, RESTful APIs",https://www.linkedin.com/jobs/view/4417770498/,"IT Recruitment Solutions Junior PHP Developer (Laravel) Britania Raya · 6 hari yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Jarak Jauh Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Jennifer Palmer • Ke-3+ Lead IT Infrastructure headhunter placing top talent in Finance, Banking, FinTech and MSPs, bi-lingual in English & Cantonese. Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Junior PHP Developer required by a thriving Digital Agency who have built a dedicated team to work ",3,"['laravel', 'php', 'restful apis']",3
PHP Developer,PHP Developer,Keyutech,"Indore, Madhya Pradesh, India (Di Kantor)",On-site,,"Git, JavaScript, Laravel, MySQL, PHP",https://www.linkedin.com/jobs/view/4418570620/,"Keyutech PHP Developer Indore, Madhya Pradesh, India · 11 jam yang lalu · 66 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Di Kantor Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 66 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Experience: 1-2 Years Location: Indore Job Summary We are seeking a PHP Developer with 1-2 years of experience to develop and maintain web applications and APIs. Responsibilities • Develop and maintain web applications using PHP. • Work with frameworks like Laravel. • Create and integrate REST APIs. • Work with MySQL databases. • Debug and optimize applica",5,"['git', 'javascript', 'laravel', 'mysql', 'php']",5
PHP Developer,"PHP Developer, Mid with verification",Acentra Health,Amerika Serikat (Jarak Jauh),Remote,,"Bamboo, Bash, Bitbucket, C, C#, Docker, Git, GitHub, Jenkins, Jira, MariaDB, Nginx, PHP, SQL",https://www.linkedin.com/jobs/view/4414517099/,"Acentra Health PHP Developer, Mid Amerika Serikat · 1 minggu yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn Jarak Jauh Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Alicia J. • Ke-3+ Compassionate Advocate | Calling To Assist With Quality Service Alumni sekolah dari UCLA Hubungkan Tentang pekerjaan ini Company Overview Acentra Health exists to empower better health outcomes through technology, services, and clinical expertise. Our mission is to innovate health solutions that deliver maximum value and impact. Lead the Way is",14,"['bamboo', 'bash', 'bitbucket', 'c#', 'docker', 'git', 'github', 'jenkins', 'jira', 'mariadb', 'nginx', 'php', 'sql']",13
PHP Developer,Senior PHP Developer,Delaney & Bourton,"Inggris, Britania Raya (Jarak Jauh)",Remote,,"Docker, Git, JavaScript, MySQL, PHP, Redis",https://www.linkedin.com/jobs/view/4412144564/,"Delaney & Bourton Senior PHP Developer Inggris, Britania Raya · 2 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Jarak Jauh Kontrak Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Tom Delaney • Ke-3+ Director - Technology / Digital Recruitment Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Interim Senior PHP Developer (Outside Ir35) Fully Remote, UK based - Strong Day Rate Initial 1 month contract > with a pending 3 month extension We're looking for experienced Contract / Interim PHP Developers that operate",6,"['docker', 'git', 'javascript', 'mysql', 'php', 'redis']",6
PHP Developer,PHP DEVELOPER,PrimeIT España,Spanyol (Jarak Jauh),Remote,,"Docker, Git, Kubernetes, MongoDB, PHP, Symfony",https://www.linkedin.com/jobs/view/4419817597/,"PrimeIT España PHP DEVELOPER Spanyol · 10 jam yang lalu · Lebih dari 100 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Jarak Jauh Penuh waktu 0 dari 4 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Mario Púa Díaz • Ke-3+ Technical Recruiter en PrimeIT Pemasang posting pekerjaan Pesan Tentang pekerjaan ini ¿ Estás preparadx para un cambio y explotar tus habilidades como nunca? 👉🏼 Sigue leyendo porque tenemos lo que buscas… 🛸 ¿Quiénes somos? 🛸 Somos una empresa internacional con más de 17 años de experiencia e",6,"['docker', 'git', 'kubernetes', 'mongodb', 'php', 'symfony']",6
PHP Developer,PHP Developer (Remote),Quik Hire Staffing,Britania Raya (Jarak Jauh),Remote,,"Java, JavaScript, Large Language Models (LLMs), PHP, Python, SQL, Supabase",https://www.linkedin.com/jobs/view/4419940295/,"Quik Hire Staffing PHP Developer (Remote) Britania Raya · 28 menit yang lalu · 1 orang mengklik Lamar Dipromosikan oleh pembuka lowongan • Respons dikelola di luar LinkedIn Jarak Jauh Paruh waktu Lamar Simpan Lihat tren perekrutan terbaru di Quik Hire Staffing Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Job Title: PHP Developer (Remote) Location : Remote (United States, Canada, United Kingdom, Australia) Work Mode: Fully Remote Role Overview Help design and evaluate autonomous AI agents across multiple LLMs, spanning health, education, daily life, and other real-world domains (all coding work). Shape the future of agentic AI systems by providing expert human feedb",7,"['java', 'javascript', 'large language models (llms)', 'php', 'python', 'sql', 'supabase']",7
PHP Developer,PHP Developer,HeyBlu,"Bukares, Rumania (Gabungan)",Hybrid,,"Ansible, Couchbase, Cypress, Docker, Git, Kubernetes, Laravel, MongoDB, MySQL, PHP, Puppet, RabbitMQ, Scrum, Symfony, Terraform",https://www.linkedin.com/jobs/view/4417038821/,"HeyBlu PHP Developer Bukares, Rumania · 1 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Gabungan Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Lorena Zinca • Ke-3+ Talent Acquisition Specialist🌸eMAG Pemasang posting pekerjaan Pesan Tentang pekerjaan ini HeyBlu is a Romanian e-money licensed fintech company that aims to provide financial services to customers and merchants operating in the e-commerce space. Our vision is to increase the financial power of e-commerce buyers & sellers, making a positive",15,"['ansible', 'couchbase', 'cypress', 'docker', 'git', 'kubernetes', 'laravel', 'mongodb', 'mysql', 'php', 'puppet', 'rabbitmq', 'scrum', 'symfony', 'terraform']",15
PHP Developer,PHP Developer,Btab Group,Malaysia (Jarak Jauh),Remote,,"CSS3, HTML5, JavaScript, Laravel, MySQL, PHP",https://www.linkedin.com/jobs/view/4410359065/,"Btab Group PHP Developer Malaysia · 2 minggu yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn 3.600 USD/yr - 6.000 USD/yr Jarak Jauh Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Job Description We are looking for a PHP Developer responsible for managing back-end services and the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. Yo",6,"['css3', 'html5', 'javascript', 'laravel', 'mysql', 'php']",6
PHP Developer,Senior PHP Developer with verification,airSlate,Polandia (Jarak Jauh),Remote,,"ArgoCD, Docker, Git, GitHub, GitHub Actions, Grafana, Kubernetes, Laravel, PHP, PostgreSQL, Redis",https://www.linkedin.com/jobs/view/4408665128/,"airSlate Senior PHP Developer Polandia · 3 minggu yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn Jarak Jauh Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini About AirSlate airSlate is a global SaaS technology company that develops no-code workflow automation, electronic signature, and document management solutions. Our award-winning products - SignNow, pdfFiller, DocHub, altaFlow , Instapage, and US Legal Forms - serve over hundreds of millions of users and more than one million customers worldwide, helping organizations of every size",11,"['argocd', 'docker', 'git', 'github', 'github actions', 'grafana', 'kubernetes', 'laravel', 'php', 'postgresql', 'redis']",11
PHP Developer,Lead PHP Developer (m/w/d),thor consulting GmbH,"Munster, Nordrhein-Westfalen, Jerman (Gabungan)",Hybrid,,"Git, Laravel, MySQL, PHP, R, Symfony",https://www.linkedin.com/jobs/view/4418271497/,"thor consulting GmbH Lead PHP Developer (m/w/d) Munster, Nordrhein-Westfalen, Jerman · 1 hari yang lalu · 31 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Gabungan Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 31 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Alex Quách • Ke-3+ Sales Executive bei thor consulting GmbH Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Unser Partner ist ein wachsendes E‑Commerce‑Unternehmen im Bereich Re‑Commerce, und bietet digitale Lösungen für den An- und Verkauf sowie die Aufbereitung von gebrauchten",6,"['git', 'laravel', 'mysql', 'php', 'symfony']",5
PHP Developer,PHP Developer/ Web Designer with verification,LINK Mobility,"Boulogne-Billancourt, Ile-de-France, Prancis (Gabungan)",Hybrid,,"JavaScript, PHP, R, Scrum, Symfony",https://www.linkedin.com/jobs/view/4206110242/,"LINK Mobility PHP Developer/ Web Designer Boulogne-Billancourt, Ile-de-France, Prancis · Dibagikan 5 hari yang lalu · Lebih dari 100 orang mengklik Lamar Dipromosikan oleh pembuka lowongan • Respons dikelola di luar LinkedIn Gabungan Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Séverine L. • Ke-3+ Senior Talent Acquisition Specialist @ LINK Mobility Group AS | DNV sertifisert rekrutterer Pemasang posting pekerjaan Pesan Tentang pekerjaan ini We're looking for PHP/ Symfony Development Engineer to join our united, dedicated, a",5,"['javascript', 'php', 'scrum', 'symfony']",4
PHP Developer,Full Stack PHP Developer,Yolk Recruitment Ltd,"Cardiff, Wales, Britania Raya (Gabungan)",Hybrid,,"Git, JavaScript, Laravel, PHP, SQL, Vue.js",https://www.linkedin.com/jobs/view/4415105185/,"Yolk Recruitment Ltd Full Stack PHP Developer Cardiff, Wales, Britania Raya · 1 minggu yang lalu · 76 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif 40K GBP/yr - 50K GBP/yr Gabungan Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 76 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Daniel Newton • Ke-3+ Senior Principal Consultant | Technology & Digital | Contact me on 07488885438 📞 Let’s connect 🚀 Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Full Stack PHP Developer | Cardiff / Hybrid | Up to £50,000 + Profit Share An established and growing tech company looking for a Full Stack PHP ",6,"['git', 'javascript', 'laravel', 'php', 'sql', 'vue.js']",6
PHP Developer,PHP Developer – Backend (Remote),Custom Connect,"Broek op Langedijk, Hollandia Utara, Belanda (Jarak Jauh)",Remote,,"Azure DevOps, Laravel, PHP, SQL",https://www.linkedin.com/jobs/view/4406845245/,"Custom Connect PHP Developer – Backend (Remote) Broek op Langedijk, Hollandia Utara, Belanda · 1 bulan yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini About Us Custom Connect is a Business Process Outsourcing (BPO) organization in the field of customer contact and related services. We are an international and multilingual company with a geographical footprint on three continents. We are present in Europe, South America and Africa targeting markets in Western Europe, South Africa, Canada,",4,"['azure devops', 'laravel', 'php', 'sql']",4
PHP Developer,PHP Developer,classid,"Limburg, Vlaams Gewest, Belgia (Gabungan)",Hybrid,,"Docker, Git, JavaScript, MySQL, PHP, SQL",https://www.linkedin.com/jobs/view/4412800308/,"classid PHP Developer Limburg, Vlaams Gewest, Belgia · 1 minggu yang lalu · 50 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Gabungan Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 50 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Lahcen Oulbacha 💻 • Ke-3+ People Manager Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Bij Classid bouwen we dagelijks verder aan ons eigen LMS-platform dat gebruikt wordt binnen het onderwijs. We zoeken een PHP Developer die graag meewerkt aan nieuwe features, bestaande functionaliteiten verder uitbouwt en mee nadenkt over schaa",6,"['docker', 'git', 'javascript', 'mysql', 'php', 'sql']",6
PHP Developer,PHP Developer,Zusthire,"Bawana, Delhi, India (Di Kantor)",On-site,,"JavaScript, PHP",https://www.linkedin.com/jobs/view/4404689237/,"Zusthire PHP Developer Bawana, Delhi, India · 1 bulan yang lalu · 95 orang mengklik Lamar Respons dikelola di luar LinkedIn Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 95 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini The PHP Developer will be responsible for developing and maintaining full-stack web applications using HTML, CSS, JavaScript, and PHP. This role requires working closely with UI/UX designers and backend teams to deliver seamless and efficient web solutions. The ideal candidate has a strong understanding of front-end and back-end development, debugging skills, and the ability to optimize applications for speed a",2,"['javascript', 'php']",2
PHP Developer,Junior PHP Developer,Shopkit,"Castelo Branco, Distrik Castelo Branco, Portugal (Di Kantor)",On-site,,"CodeIgniter, Git, Laravel, MySQL, PHP, R, Symfony",https://www.linkedin.com/jobs/view/4405231929/,"Shopkit Junior PHP Developer Castelo Branco, Distrik Castelo Branco, Portugal · 1 bulan yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Di Kantor Magang 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Sobre nós A Shopkit (www.shopkit.pt) é uma solução 100% portuguesa de criação de lojas online que permite a qualquer negócio melhorar a sua presença digital, automatizar os processos de gestão e, sobretudo, aumentar as vendas. Com milhares de lojas online criadas, somos a plataforma de e-commerce líder em Portugal. Procuramos um/a Junior PHP",7,"['codeigniter', 'git', 'laravel', 'mysql', 'php', 'symfony']",6
PHP Developer,PHP Developer,InfoNix WebLab,"Chennai, Tamil Nadu, India (Di Kantor)",On-site,,"CodeIgniter, MySQL, PHP",https://www.linkedin.com/jobs/view/4406265279/,"InfoNix WebLab PHP Developer Chennai, Tamil Nadu, India · 1 bulan yang lalu · Lebih dari 100 pelamar Dipromosikan oleh pembuka lowongan • Wawasan respons belum tersedia Di Kantor Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini 🚀 Hiring: PHP Developer (AI-Driven Development) Immediate Joiners Preferred We’re looking for a full-time, onsite PHP Developer to join our product team in Navalur, Chennai. If you’re strong in CodeIgniter, MySQL, and API integrations , and have exposure to AI-assisted development (tools, automation, or integrations) , this role is for you. What you",3,"['codeigniter', 'mysql', 'php']",3
PHP Developer,PHP Developer,IT Search,"Dublin, County Dublin, Irlandia (Gabungan)",Hybrid,,"Docker, Flutter, JavaScript, Laravel, PHP, SQL",https://www.linkedin.com/jobs/view/4412120503/,"IT Search PHP Developer Dublin, County Dublin, Irlandia · 2 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif 50K EUR/yr - 60K EUR/yr Gabungan Penuh waktu 0 dari 8 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Graeme King • Ke-3+ Principal Recruitment Consultant | IT Search Pemasang posting pekerjaan Pesan Tentang pekerjaan ini PHP Developer Dublin (Hybrid) Full-time, Permanent €50-60K + benefits IT Search has partnered with a well-established Irish organisation undergoing a major digital transformati",6,"['docker', 'flutter', 'javascript', 'laravel', 'php', 'sql']",6
PHP Developer,Senior PHP Developer,Jirabytes Technologies,"New York, Amerika Serikat (Di Kantor)",On-site,,PHP,https://www.linkedin.com/jobs/view/4412652210/,"Jirabytes Technologies Senior PHP Developer New York, Amerika Serikat · 2 minggu yang lalu · 41 orang mengklik Lamar Respons dikelola di luar LinkedIn Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 41 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini We are creative, ambitious and ready for challenges! Hire Us

Over 10 years we help companies reach their financial and branding goals. Engitech is a values-driven technology agency dedicated.

From the designers and engineers who are creating the next generation of web and mobile experiences, to anyone putting a website together for the first time.We provide elegant solutions that se",1,['php'],1
PHP Developer,Full Stack PHP Developer - Remote,Swapcard,"Barcelona, Catalonia, Spanyol (Jarak Jauh)",Remote,,"Bitbucket, Jira, MariaDB, MySQL, PHP, SQL, Workday",https://www.linkedin.com/jobs/view/4404523149/,"Swapcard Full Stack PHP Developer - Remote Barcelona, Catalonia, Spanyol · 1 bulan yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn Jarak Jauh Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Our Mission Swapcard is the leading AI-powered event platform designed to drive revenue growth and foster meaningful connections at in-person and hybrid events. We recognize the importance of teamwork in successful events; that's why Swapcard is fueled by a team of innovators who are passionate about helping organizers build future-proof events. Ou",7,"['bitbucket', 'jira', 'mariadb', 'mysql', 'php', 'sql', 'workday']",7
PHP Developer,Back End PHP Developer,BaseKit | B Corp™,"Bristol, Inggris, Britania Raya (Gabungan)",Hybrid,,"Docker, Jenkins, PHP",https://www.linkedin.com/jobs/view/4413680742/,"BaseKit | B Corp™ Back End PHP Developer Bristol, Inggris, Britania Raya · 6 hari yang lalu · 62 orang mengklik Lamar Respons dikelola di luar LinkedIn Gabungan Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 62 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Mark Jeffries • Ke-3+ Technical Director at BaseKit Pesan Tentang pekerjaan ini About BaseKit BaseKit is a white-label software development company specialising in designing effortless mobile-first digital tools for small businesses. We're on a mission to democratise tech so that everyone has the confidence to build a business online.",3,"['docker', 'jenkins', 'php']",3
PHP Developer,PHP Developer (Junior) with verification,BeyondEdge,"Can Tho, Can Tho, Vietnam (Di Kantor)",On-site,,"Git, JavaScript, MySQL, PHP",https://www.linkedin.com/jobs/view/4419148551/,"BeyondEdge PHP Developer (Junior) Can Tho, Can Tho, Vietnam · 1 hari yang lalu · 17 pelamar Waktu peninjauan perusahaan biasanya 1 minggu Di Kantor Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 17 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Company Description BeyondEdge is an IT service provider based in Singapore, specializing in delivering comprehensive IT solutions that empower governments and enterprises through digital transformation and innovative technology. With a strong presence in Singapore and Vietnam, BeyondEdge is focused on global expansion. Backed by a diverse team of about 100 IT professionals, the compan",4,"['git', 'javascript', 'mysql', 'php']",4
PHP Developer,PHP Developer,Sanoma Learning,"Warsawa, Mazowieckie, Polandia (Jarak Jauh)",Remote,,"CodeIgniter, Docker, Git, Grafana, JavaScript, Laravel, Memcached, MySQL, New Relic, PHP, Query Optimization, RabbitMQ, Redis, SOLID Principles, Symfony, Vue.js",https://www.linkedin.com/jobs/view/4413479489/,"Sanoma Learning PHP Developer Warsawa, Mazowieckie, Polandia · 2 minggu yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn Jarak Jauh Kontrak Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini 📍 Location: Warsaw, Poland (Remote with occasional office visits – 1–3 times per year) 🕒 Type: Full-time 📄 Contract Type: B2B (requires a registered sole proprietorship in Poland) Sanoma Learning is the leading European learning company, serving over 20 million students in 11 countries. We offer printed and digital learning materials as well as digital learning a",16,"['codeigniter', 'docker', 'git', 'grafana', 'javascript', 'laravel', 'memcached', 'mysql', 'new relic', 'php', 'query optimization', 'rabbitmq', 'redis', 'solid principles', 'symfony', 'vue.js']",16
PHP Developer,PHP Developer with verification,Gameloft Bucharest,"Bukares, Bukares, Rumania (Gabungan)",Hybrid,,"Google BigQuery, MySQL, PHP, Symfony",https://www.linkedin.com/jobs/view/4414564805/,"Gameloft Bucharest PHP Developer Bukares, Bukares, Rumania · 1 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh pembuka lowongan • Wawasan respons belum tersedia Gabungan Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini WHAT YOU WILL BE WORKING ON Designing, building, and improving internal accounting, financial, and reporting tools used globally across Gameloft, while ensuring scalability, performance, and maintainability. Main challenge Designing, building, and improving internal accounting, financial, and reporting tools used globally across Gameloft, while ensuring scalability, perf",4,"['google bigquery', 'mysql', 'php', 'symfony']",4
